Major,Subject,Type,Teacher,Mode
Inf,Metody sztucznej inteligencji,lab,mgr inż. Patryk Giertuga,Stacjonarne
Inf,Metody sztucznej inteligencji,lab,mgr inż. Piotr Soszka,Niestacjonarne
Inf,Metody sztucznej inteligencji,lab,prof. UBB dr hab. inż. Mirosław Kordos,Niestacjonarne
Inf,Metody sztucznej inteligencji,lab,prof. UBB dr hab. inż. Mirosław Kordos,Stacjonarne
Inf,Metody sztucznej inteligencji,wyk,prof. UBB dr hab. inż. Mirosław Kordos,Niestacjonarne
Inf,Metody sztucznej inteligencji,wyk,prof. UBB dr hab. inż. Mirosław Kordos,Stacjonarne
Inf,Nauka o danych II,lab,prof. dr hab. Vasyl Martsenyuk,Niestacjonarne
Inf,Nbd,lab,mgr inż. Piotr Soszka,Niestacjonarne
Inf,Nbd,lab,mgr inż. Piotr Soszka,Stacjonarne
Inf,Nieralacyjne bazy danych,wyk,dr hab. Wojciech Wieczorek,Niestacjonarne
Inf,Nierelacyjne bazy danych,lab,mgr inż. Olga Veselska,Stacjonarne
Inf,Nierelacyjne bazy danych,wyk,dr inż. Paweł Fałat,Stacjonarne
Inf,NodI,lab,dr Joanna Nikodem,Stacjonarne
Inf,NodI,wyk,dr Joanna Nikodem,Stacjonarne
Inf,Ok,lab,dr hab. Wojciech Wieczorek,Stacjonarne
Inf,Ok,wyk,dr hab. Wojciech Wieczorek,Stacjonarne
Inf,Programowanie II,lab,dr hab. Wojciech Wieczorek,Niestacjonarne
Inf,Programowanie II,lab,dr inż. Paweł Fałat,Stacjonarne
Inf,Programowanie II,lab,dr inż. Ruslan Shevchuk,Niestacjonarne
Inf,Programowanie II,lab,dr inż. Ruslan Shevchuk,Stacjonarne
Inf,Programowanie II,lab,mgr inż. Mikołaj Grygiel,Stacjonarne
Inf,Programowanie II,lab,mgr inż. Piotr Soszka,Stacjonarne
Inf,Programowanie II,wyk,dr inż. Paweł Fałat,Stacjonarne
Inf,Programowanie IV,lab,dr hab. Wojciech Wieczorek,Niestacjonarne
Inf,Programowanie IV,lab,dr inż. Krzysztof Augustynek,Stacjonarne
Inf,Programowanie IV,lab,dr inż. Paweł Fałat,Stacjonarne
Inf,Programowanie IV,lab,mgr inż. Tomasz Zając,Niestacjonarne
Inf,Programowanie IV,lab,mgr inż. Tomasz Zając,Stacjonarne
Inf,Programowanie IV,wyk,dr hab. Wojciech Wieczorek,Niestacjonarne
Inf,Programowanie IV,wyk,dr inż. Krzysztof Augustynek,Stacjonarne
Inf,Programowanie dla Internetu w technologii ASP.NET,lab,dr inż. Krzysztof Augustynek,Niestacjonarne
Inf,Programowanie dla Internetu w technologii ASP.NET,lab,dr inż. Krzysztof Augustynek,Stacjonarne
Inf,Programowanie dla Internetu w technologii ASP.NET,lab,dr inż. Paweł Fałat,Stacjonarne
Inf,Programowanie dla Internetu w technologii ASP.NET,lab,dr inż. Szymon Tengler,Niestacjonarne
Inf,Programowanie dla Internetu w technologii ASP.NET,wyk,dr inż. Paweł Fałat,Stacjonarne
Inf,Programowanie dla Internetu w technologii ASP.NET,wyk,dr inż. Szymon Tengler,Niestacjonarne
Inf,Programowanie mikrokontrolerów,lab,dr inż. Daniel Jancarczyk,Stacjonarne
Inf,Programowanie mikrokontrolerów,lab,mgr inż. Damian Pytka,Niestacjonarne
Inf,Programowanie mikrokontrolerów,lab,mgr inż. Damian Pytka,Stacjonarne
Inf,Programowanie mikrokontrolerów,wyk,dr inż. Daniel Jancarczyk,Niestacjonarne
Inf,Programowanie mikrokontrolerów,wyk,dr inż. Daniel Jancarczyk,Stacjonarne
Inf,Projekt - zespołowe przedsięwzięcie programistyczne,proj,mgr inż. Maksymilian Grygiel,Niestacjonarne
Inf,Projekt - zespołowe przedsięwzięcie programistyczne,proj,mgr inż. Maksymilian Grygiel,Stacjonarne
Inf,Projekt - zespołowe przedsięwzięcie programistyczne,proj,mgr inż. Tomasz Zając,Niestacjonarne
Inf,Projekt - zespołowe przedsięwzięcie programistyczne,proj,mgr inż. Tomasz Zając,Stacjonarne
Inf,Projekt - zespołowe przedsięwzięcie programistyczne,proj,mgr inż. Łukasz Hamera,Niestacjonarne
Inf,Projekt - zespołowe przedsięwzięcie programistyczne,proj,mgr inż. Łukasz Hamera,Stacjonarne
Inf,Projektowanie i analiza użyteczności interfejsów użytkownika,lab,dr Łukasz Więcław,Niestacjonarne
Inf,Projektowanie i analiza użyteczności interfejsów użytkownika,wyk,dr Łukasz Więcław,Niestacjonarne
Inf,Projektowanie i obsługa sieci komputerowych II,lab,mgr inż. Olga Veselska,Niestacjonarne
Inf,Projektowanie i obsługa sieci komputerowych II,lab,mgr inż. Olga Veselska,Stacjonarne
Inf,Projektowanie i obsługa sieci komputerowych II,ćw,mgr inż. Olga Veselska,Niestacjonarne
Inf,Projektowanie i obsługa sieci komputerowych II,ćw,mgr inż. Olga Veselska,Stacjonarne
Inf,Projektowanie rozwiązań internetowych,lab,mgr inż. Mikołaj Grygiel,Stacjonarne
Inf,Projektowanie rozwiązań internetowych,lab,mgr inż. Patryk Giertuga,Stacjonarne
Inf,Przetwarzanie dzwięku,wyk,mgr inż. Damian Pytka,Niestacjonarne
Inf,Radiokomunikacja II,lab,mgr inż. Olga Veselska,Niestacjonarne
Inf,Rozszerzony Internet rzeczy,lab,dr Łukasz Więcław,Niestacjonarne
Inf,Rozszerzony Internet rzeczy,wyk,dr Łukasz Więcław,Niestacjonarne
Inf,Seminarium dyplomowe I,sem,dr Łukasz Więcław,Niestacjonarne
Inf,Seminarium dyplomowe I,sem,dr Łukasz Więcław,Stacjonarne
Inf,Seminarium dyplomowe I,sem,prof. UBB dr hab. inż. Stanisław Zawiślak,Niestacjonarne
Inf,Seminarium dyplomowe II,sem,prof. UBB dr hab. inż. Stanisław Zawiślak,Stacjonarne
Inf,Sieci komputerowe,lab,mgr inż. Olga Veselska,Niestacjonarne
Inf,Sieci komputerowe,lab,mgr inż. Olga Veselska,Stacjonarne
Inf,Sieci komputerowe,wyk,dr inż. Ruslana Ziubina,Niestacjonarne
Inf,Sieci komputerowe,wyk,dr inż. Ruslana Ziubina,Stacjonarne
Inf,Systemy operacyjne I,lab,dr inż. Tomasz Gancarczyk,Niestacjonarne
Inf,Systemy operacyjne I,lab,dr inż. Tomasz Gancarczyk,Stacjonarne
Inf,Systemy operacyjne I,wyk,dr inż. Tomasz Gancarczyk,Niestacjonarne
Inf,Systemy operacyjne I,wyk,dr inż. Tomasz Gancarczyk,Stacjonarne
Inf,Systemy rozproszone,lab,dr inż. Krzysztof Augustynek,Niestacjonarne
Inf,Techniki testowania aplikacji,lab,mgr inż. Maksymilian Grygiel,Stacjonarne
Inf,Technologie Blockchain,lab,dr inż. Ruslan Shevchuk,Niestacjonarne
Inf,Teletransmisja II,lab,dr inż. Ruslan Shevchuk,Niestacjonarne
Inf,Teoria informacji i kodowanie,ćw,dr Jacek Mrowiec,Niestacjonarne
Inf,Todsc,lab,dr inż. Szymon Tengler,Stacjonarne
Inf,Todsc,wyk,dr inż. Szymon Tengler,Stacjonarne
Inf,Uczenie maszynowe,lab,prof. dr hab. Vasyl Martsenyuk,Stacjonarne
Inf,Wybrane zagadnienia z ochrony własności intelektualnych,wyk,prof. UBB dr hab. inż. Tomasz Knefel,Stacjonarne
Inf,Wzorce projektowe,wyk,dr Łukasz Więcław,Niestacjonarne
Inf,Wzorce projektowe,wyk,dr Łukasz Więcław,Stacjonarne
Inf,Zgigk,lab,dr Marcin Bernaś,Stacjonarne
Inf,Zgigk,wyk,dr Marcin Bernaś,Stacjonarne
Inf,Zp,wyk,dr Łukasz Więcław,Niestacjonarne
Inf,Zp,wyk,dr Łukasz Więcław,Stacjonarne
Inf,Ztp,lab,prof. UBB dr hab. inż. Mirosław Kordos,Stacjonarne
Inf,Ztp,wyk,prof. UBB dr hab. inż. Mirosław Kordos,Stacjonarne
Inż mat,Odlewnictwo,lab,dr inż. Aleksandra Jarco,Stacjonarne
Inż mat,Odlewnictwo,wyk,prof. UBB dr hab. inż. Jacek Pezda,Stacjonarne
Inż śr,Matematyka,wyk,dr Tomasz Zgraja,Stacjonarne
Inż śr,Matematyka,ćw,dr Tomasz Zgraja,Stacjonarne
Kom int,Podstawy informatyki,wyk,dr Aleksandra Kłos-Witkowska,Stacjonarne
Kom int,Podstawy informatyki,ćw,dr Aleksandra Kłos-Witkowska,Stacjonarne
Kom int,Wprowadzenie do UX Design,wyk,dr Łukasz Więcław,Stacjonarne
Kom int,Wprowadzenie do UX Design,ćw,dr Łukasz Więcław,Stacjonarne
MiBM,Bezpieczeństwo i jakość w procesach wytwórczych,wyk,prof. UBB dr hab. inż. Jacek Pezda,Stacjonarne
MiBM,Drgania mechaniczne,lab,dr inż. Arkadiusz Trąbka,Stacjonarne
MiBM,Drgania mechaniczne,wyk,dr inż. Jarosław Janusz,Stacjonarne
MiBM,Dynamika maszyn,lab,prof. UBB dr hab. inż. Andrzej Urbaś,Stacjonarne
MiBM,Eksploatacja i technologia napraw maszyn,wyk,prof. UBB dr hab. inż. Krzysztof Parczewski,Stacjonarne
MiBM,Eksploatacja i technologia napraw maszyn,wyk,prof. UBB dr hab. inż. Tomasz Knefel,Stacjonarne
MiBM,Elementy sterowania i robotyki,lab,dr inż. Arkadiusz Trąbka,Niestacjonarne Wieczorowe
